[00:00.00 - 00:02.24] 就人现在是一个不称职的医生了
[15:12.84 - 15:14.12] 定义或者人去
[15:14.12 - 15:15.48] 就在设置价格的时候
[15:15.48 - 15:16.72] 去设置这些
[15:16.72 - 15:18.24] 然后现在听起来是
[15:18.24 - 15:20.08] AI去决定了这一些
[15:20.08 - 15:21.28] 首先
[15:21.28 - 15:22.20] 就是这个指标
[15:22.20 - 15:23.48] 基本价格还是人
[15:23.48 - 15:25.20] 最初的效果还是在的
[15:25.20 - 15:26.16] 就是我们说的安全
[15:26.16 - 15:28.32] 但是后来其实也通过
[15:28.32 - 15:30.08] 通过一些学习的方式
[15:30.08 - 15:30.96] 来做一些模型
[15:30.96 - 15:32.56] 这种评价
[15:32.56 - 15:33.84] 但当我说的
[15:33.84 - 15:34.60] 反过来说
[15:34.60 - 15:35.52] 其实是
[15:35.52 - 15:36.48] 在这个评价上
[15:36.48 - 15:37.88] 那他做的不好
[15:37.88 - 15:39.20] 就是因为什么这件事情
[15:39.20 - 15:39.80] 都判断
[15:39.80 - 15:41.28] 人说不准原因的
[15:41.28 - 15:43.76] 就人性是一个不称职的医生了
[15:43.76 - 15:44.84] AI来当的医生格
[15:44.84 - 15:45.84] 好事
[15:45.84 - 15:48.04] 就是人性没法跟军性的
[15:48.04 - 15:48.76] 振撞
[15:48.76 - 15:49.56] 来看你的病因
[15:49.56 - 15:51.64] 或者说很多的判断都是错的
[15:51.64 - 15:52.28] 而这个时候
[15:52.28 - 15:54.84] 其实AI能够判断的这么准
[15:54.84 - 15:56.36] 其实这世界上有很多事
[15:56.36 - 15:57.44] 有这样的例子
[15:57.44 - 15:58.64] 就是在非常复杂的
[15:58.64 - 16:00.76] 这个文件或者是
[16:00.76 - 16:01.52] 合张复杂的
[16:01.52 - 16:02.48] 表示要带马上
[16:02.48 - 16:03.56] 其实AI能够掌握
[16:03.56 - 16:05.04] 基金超过人
[16:05.04 - 16:06.20] 这个核心的原因
[16:06.20 - 16:08.08] 不是说人在这个事情上
[16:08.08 - 16:08.64] 有短棒
[16:08.64 - 16:11.24] 还是AI进化的太强了
[16:11.24 - 16:13.04] 或者人其实也不可能有什么进步
[16:13.04 - 16:14.16] 你不能一直进步吧
[16:14.16 - 16:16.12] 人在记忆的时候判断这个东西
[16:16.12 - 16:17.80] 当然AI它其实通过一个
[16:17.80 - 16:19.64] 非常长的扛太刺
[16:19.64 - 16:21.16] 那这就是这个背景
[16:21.16 - 16:21.88] 这样这是能够
[16:21.88 - 16:23.64] 你现在是能力变得很强
[16:23.64 - 16:24.24] 那比如说
[16:24.24 - 16:25.56] 就还是刚才这个例子
[16:25.56 - 16:28.76] 在AI识别到他加塞的这个场景下
[16:28.76 - 16:29.76] 他不送那么的
[16:29.76 - 16:31.88] 这个就是厉害
[16:31.88 - 16:33.20] 或者他还有短暗的时候
[16:33.20 - 16:34.64] 在你们的世界模型
[16:34.64 - 16:35.96] 2.0的这个系统里面
[16:35.96 - 16:37.24] 他会是什么样的一个变化
[16:37.24 - 16:38.08] 或者他会尝试一个
[16:38.08 - 16:38.76] 他就会告诉
[16:38.76 - 16:39.92] 他就会告诉说
[16:40.08 - 16:40.72] 比如说
[16:40.72 - 16:41.52] 他会让Sato
[16:41.52 - 16:43.76] 比如说是其实跟光照的管理
[16:43.76 - 16:44.52] 比如说
[16:44.52 - 16:45.36] 是你这几个没做好
[16:45.36 - 16:46.56] 是因为光照的原因
[16:46.56 - 16:47.44] 不是因为那个什么
[16:47.44 - 16:48.36] 他会自己分析
[16:48.36 - 16:48.56] 对
[16:48.56 - 16:50.60] 他会分析出其实光照才是原因
[16:50.60 - 16:51.92] 你之前没有搞清楚
[16:51.92 - 16:53.08] 否则你会觉得很咖啡
[16:53.08 - 16:54.36] 为什么这种好像都不好
[16:54.36 - 16:55.36] 是因为对着光照
[16:55.36 - 16:56.92] 出有些吃饭器的问题
[16:56.92 - 16:57.56] 那好
[16:57.56 - 16:58.48] 那我能不能够
[16:58.48 - 16:59.12] 对我去找家
[16:59.12 - 16:59.96] 我实验我心中
[16:59.96 - 17:00.68] 甚至这样吃饭
[17:00.68 - 17:02.28] 这样跟正式也不一样的
[17:02.28 - 17:02.96] 那我也去看
[17:02.96 - 17:03.80] 正式也是什么样子
[17:03.80 - 17:04.24] 对吧
[17:04.24 - 17:05.56] 我一直觉得就踩几件
[17:05.56 - 17:06.72] 然后做些比较
[17:06.72 - 17:07.96] 帮助我们的行为一点
[17:08.08 - 17:09.32] 这方面做些改进
[17:10.52 - 17:11.48] 然后改进了之后
[17:11.48 - 17:12.48] 从而后来判断说
[17:12.48 - 17:14.28] 这个改进究竟是不是好的改进
[17:14.28 - 17:15.48] 有很低不害不够
[17:15.48 - 17:16.52] 还要再做几个完之后
[17:16.52 - 17:18.20] 他不断地判断的事情
[17:18.20 - 17:20.84] 其实其实退步就原来在有
[17:20.84 - 17:21.84] 是一万人在装一宫
[17:21.84 - 17:23.20] 都是我们人来做的
[17:23.20 - 17:24.04] 但是今天比如说
[17:24.04 - 17:25.28] 我就没办法去
[17:25.28 - 17:26.00] 把光照这个人
[17:26.00 - 17:26.56] 跟他令个上
[17:26.56 - 17:27.16] 因为我脑子中
[17:27.16 - 17:28.40] 可能真想不到这个事情
[17:28.40 - 17:30.24] 但他能够想的
[17:30.24 - 17:31.52] 那他想到了这个时候
[17:31.52 - 17:34.52] 他实际上是给你们的公司
[17:34.52 - 17:36.16] 团队就发送了一个数据的
[17:36.16 - 17:37.12] 一个职临那种人
[17:37.12 - 17:38.12] 这收集这个那种办法
[17:38.12 - 17:38.80] 首先
[17:38.80 - 17:41.12] 时间我肯定会盖着整
[17:41.12 - 17:43.64] 我看我肯定会监控整个过程
[17:43.64 - 17:44.76] 就是不能让他做一些
[17:44.76 - 17:47.08] 但是本身向采集很多东西
[17:47.08 - 17:48.52] 大家我们会有些人帮助采集
[17:48.52 - 17:50.08] 但是我们的车对吧
[17:50.08 - 17:51.56] 也是我们的工具
[17:51.56 - 17:52.28] 就是我们车
[17:52.28 - 17:54.28] 这个整个安排也可以制自动化完成
[17:55.56 - 17:57.56] 我们车去迟迟迟迟迟迟迟迟
[17:57.56 - 17:59.48] 去收集这样的一些反馈
[17:59.48 - 18:00.44] 反馈再给到这个人
[18:00.44 - 18:01.88] 这个总是也是自动的
[18:01.88 - 18:04.24] 就并不是说我们人工来做这件事情
[18:04.24 - 18:06.04] 其实我也做了我们的自动化工具
[18:06.04 - 18:08.04] 来帮他完成这件事情
[18:08.04 - 18:11.72] 我先表达了说之前可能更多的是
[18:11.72 - 18:13.72] 我们知道这有短板
[18:13.72 - 18:14.72] 然后
[18:14.72 - 18:17.12] 和之前在反正的这个系统里面
[18:17.12 - 18:19.96] 然后现在在主动的这个词别的这个东西
[18:19.96 - 18:21.16] 然后再去捕这个数据
[18:21.16 - 18:22.08] 他有什么样的不同
[18:22.08 - 18:23.36] 就世界你们的这个
[18:23.36 - 18:23.92] 二点点
[18:23.92 - 18:25.52] 要不什么数据也是你的判断
[18:25.52 - 18:27.12] 判断者发生变化
[18:27.12 - 18:28.12] 原来是人在判断
[18:28.12 - 18:29.72] 现在这样的判断
[18:29.72 - 18:31.64] 然后收集的之后的好坏短
[18:31.64 - 18:32.84] 究竟够不够了
[18:32.84 - 18:34.08] 科技之后还要不要赶紧
[18:34.08 - 18:35.68] 赶紧的好坏这件事情的判断
[18:35.68 - 18:37.92] 之前人在判断现在谁呀
[18:37.92 - 18:39.72] 就是这些关键的判断决策点
[18:39.72 - 18:41.76] 其实都有AI来取代人
[18:41.76 - 18:43.96] 所以其实真的工具人工具人
[18:43.96 - 18:47.04] 就是很自灭意思的这一个
[18:47.04 - 18:50.12] 或者说我们的应该说把大家的经历
[18:50.12 - 18:52.32] 放在了其他我们也很重要的地方
[18:52.32 - 18:53.84] 但是就说判断人生当
[18:53.84 - 18:55.52] 我就交给一些做得更好的人
[18:55.52 - 18:58.68] 做更好的虚拟人AI来办的
[18:58.68 - 18:59.68] 在这个过程里面
[18:59.68 - 19:00.84] 他的这个效率
[19:00.84 - 19:03.76] 他的这个一定是会有背书的体上的
[19:03.76 - 19:05.60] 然后他我说的就是他最大一当
[19:05.60 - 19:07.12] 我说充过天花板嘛
[19:07.12 - 19:08.80] 但就是说因为我这些人来做的话
[19:08.80 - 19:10.56] 他很多都不能帮助正向进步了
[19:10.56 - 19:13.04] 但这个效率变化也是巨大的
[19:13.04 - 19:15.04] 就是他能够原来提升速度
[19:15.04 - 19:16.48] 就然因为依赖很多人的判断
[19:16.48 - 19:17.60] 有时候还不太准
[19:17.60 - 19:18.72] 他我来来会就不动
[19:18.72 - 19:19.80] 这个因为他是自动过程
[19:19.80 - 19:21.52] 所以他的效率挺很大
[19:21.52 - 19:22.56] 所以我也跟说问到了
[19:22.56 - 19:23.40] 这个就是两个好处
[19:23.40 - 19:24.40] 第二个我就知道的
[19:24.40 - 19:25.96] 我就是说效率提出
[19:25.96 - 19:26.76] 明白
[19:26.76 - 19:29.36] 来教主就是我们这个世界模型2.0
[19:29.36 - 19:31.00] 他其实就是你之前也讲过
[19:31.00 - 19:32.80] 说他更多的是一个
[19:32.92 - 19:34.68] 工厂级的就云端的一个
[19:34.68 - 19:37.08] 训练的这个就是模型的工厂
[19:37.08 - 19:38.68] 然后我们这个车端
[19:38.68 - 19:41.48] 他其实还是有一个匹配的这个东西
[19:41.48 - 19:43.00] 然后我看这一次在介绍里面
[19:43.00 - 19:44.80] 左中的提到了我们这个
[19:44.80 - 19:46.20] 异谱与异常的这个
[19:46.20 - 19:48.24] 这个是个什么样的一个思想
[19:48.24 - 19:49.80] 或者这个是个什么样的技术
[19:49.80 - 19:50.40] 好
[19:50.40 - 19:51.36] 这个对
[19:51.36 - 19:52.88] 主要是说你问的
[19:52.88 - 19:54.40] 其实是那个车端模型
[19:54.40 - 19:54.60] 对
[19:54.60 - 19:55.60] 到一些亮点
[19:55.60 - 19:56.40] 就这次我也很借
[19:56.40 - 19:57.28] 就是分享一下
[19:57.28 - 19:58.40] 其一组藏的意义
[19:58.40 - 19:59.96] 这个也是为什么通过世界模型做的
[19:59.96 - 20:01.80] 但这个根都是一点点内容
[20:01.80 - 20:04.32] 就一点点本质就让模型训练模型
[20:04.32 - 20:07.00] 那模型指的是事情模型训练车端模型
[20:07.00 - 20:08.20] 就全称的话
[20:08.20 - 20:09.68] 那车端模异图是这样子
[20:09.68 - 20:10.80] 异图的意思就是直接
[20:10.80 - 20:12.00] 就英文教育天神
[20:12.00 - 20:12.80] 中文就是异图
[20:12.80 - 20:13.80] 比如说
[20:13.80 - 20:14.92] 我一个想过马路在
[20:14.92 - 20:16.72] 究竟我是就不把你们抓过了
[20:16.72 - 20:18.48] 还是我看着还有这种根本就不过
[20:18.48 - 20:19.96] 就多种不同的异图
[20:19.96 - 20:20.72] 其他车端说
[20:20.72 - 20:22.20] 假裁也是一个异图
[20:22.20 - 20:23.52] 就这种异图本身
[20:23.52 - 20:25.12] 首先
[20:25.12 - 20:26.44] 人在开车的时候
[20:26.44 - 20:28.44] 根本上还是根据异图
[20:28.44 - 20:29.44] 来决定如何开车
[20:30.44 - 20:32.24] 那么余大乡比在
[20:32.24 - 20:33.64] 有人说来语言对吧
[20:33.64 - 20:35.24] 就是人开车的时候
[20:35.24 - 20:36.84] 其实并不是把路上
[20:36.84 - 20:38.64] 秦华翻评语言上来想怎么做
[20:38.64 - 20:39.64] 而是翻译成异图
[20:39.64 - 20:40.84] 异图是很重要的一个重点
[20:40.84 - 20:43.24] 就是比较开车
[20:43.24 - 20:44.84] 我其实是跟那个人对试
[20:44.84 - 20:45.24] 对吧
[20:45.24 - 20:46.44] 我看其实他让我
[20:46.44 - 20:47.64] 会这么开
[20:47.64 - 20:48.84] 但这个对试判的对不对
[20:48.84 - 20:49.84] 你说
[20:49.84 - 20:52.24] 但是其实异图是人开车的关键
[20:52.24 - 20:53.04] 而这个异图
[20:53.04 - 20:54.24] 一个很重要好处置
[20:54.24 - 20:55.44] 在世界模型中
[20:55.44 - 20:57.64] 它是无限深沉的
[20:57.84 - 20:59.44] 你们是有没有一个深沉模型
[20:59.44 - 21:01.04] 我可以用这个异图来深沉
[21:01.04 - 21:02.84] 我就可以得到异图
[21:02.84 - 21:03.84] 所以我可以知道
[21:03.84 - 21:06.04] 任何异图组合对应的
[21:06.04 - 21:07.04] 讯例场景什么样子
[21:07.04 - 21:08.64] 我可以让大家在这个讯例
[21:08.64 - 21:10.04] 我做个弄场式
[21:10.04 - 21:11.04] 所以大家可以试
[21:11.04 - 21:11.84] 所有的
[21:11.84 - 21:13.64] 可以在所有的异图组合异图组合异
[21:13.64 - 21:14.24] 讯例
[21:14.24 - 21:15.84] 可以反过来说这个事情
[21:15.84 - 21:17.84] 这样它的好处是
[21:17.84 - 21:18.84] 它达到这个效果
[21:18.84 - 21:19.84] 我竟然拿比较
[21:19.84 - 21:21.84] 这个词则为理计的方式来解释
[21:21.84 - 21:22.64] 就是
[21:22.64 - 21:25.04] 人开车其实有一个
[21:25.04 - 21:26.84] 还是有些地方这感觉
[21:26.84 - 21:29.64] 人习惯有把务六上下午的异图
[21:29.64 - 21:31.04] 做一个它最大思安
[21:31.04 - 21:32.04] 估计就是我估计一下
[21:32.04 - 21:33.64] 最大可能干什么样的可能
[21:33.64 - 21:34.24] 它会让我
[21:34.24 - 21:35.64] 它会怪
[21:35.64 - 21:37.84] 估计它我就按这个来最测
[21:37.84 - 21:39.84] 但其实我们的AI刺激
[21:39.84 - 21:42.04] 我们的车载模型不是这样子的
[21:42.04 - 21:43.44] 它是KP卖的
[21:43.44 - 21:45.84] 所有刚刚这些异图的组合
[21:45.84 - 21:48.24] 然后做了一个综合的角色
[21:48.24 - 21:49.64] 它脑子并没有做
[21:49.64 - 21:51.04] 又判断说一定是这个可能
[21:51.04 - 21:51.84] 它是把所有可能
[21:51.84 - 21:54.64] 概率放在一起来做的方法
[21:54.64 - 21:56.24] 就有点那个
[21:56.24 - 21:57.04] 就是这个
[21:57.04 - 21:58.04] 而且真的很多人也做
[21:58.04 - 21:58.84] 就是了
[21:58.84 - 22:00.24] 就是算说了这个多少种
[22:00.24 - 22:01.64] 然后选择了最好的异图
[22:01.64 - 22:02.44] 或者什么也那种
[22:02.44 - 22:04.24] 这不是哥本还能全是
[22:04.24 - 22:05.24] 这是平定于做全是
[22:05.24 - 22:05.84] 对
[22:05.84 - 22:06.84] 对
[22:06.84 - 22:08.44] 就是说它其实我脑子中
[22:08.44 - 22:09.44] 始终KP卖的
[22:09.44 - 22:11.24] 事业上比如说四种这样的可能
[22:11.24 - 22:12.04] 我没种可能
[22:12.04 - 22:12.84] 大概概率多少
[22:12.84 - 22:14.44] 我对我的行为要对的四种
[22:14.44 - 22:15.44] 可能多么负责
[22:15.44 - 22:16.84] 当然可能因为概率不同
[22:16.84 - 22:18.44] 所以我可能重点在
[22:18.44 - 22:19.44] 数据进行考虑
[22:19.44 - 22:20.24] 概率最大的那个
[22:20.24 - 22:22.04] 我可以答案员先让我考虑所有
[22:22.04 - 22:23.84] 这是实际上的一个做法
[22:24.04 - 22:25.84] 但人其实不是这么做的
[22:25.84 - 22:26.84] 就是我穿出意图
[22:26.84 - 22:28.84] 从你试一个通过这个东西
[22:28.84 - 22:29.84] 也是一个为什么要
[22:29.84 - 22:30.84] 有时候能做别人安全
[22:30.84 - 22:32.04] 很重要的点
[22:32.04 - 22:33.84] 但是这个异图本身的源头
[22:33.84 - 22:34.84] 是由于必须要在事件
[22:34.84 - 22:36.84] 目前就不会生成才能做的
[22:36.84 - 22:37.84] 这个某种收紧
[22:37.84 - 22:38.84] 你收紧多少异图的
[22:38.84 - 22:39.64] 别人不会跟你说
[22:39.64 - 22:40.84] 还以为我异图是什么的
[22:42.44 - 22:43.24] 所以这个其实
[22:43.24 - 22:44.24] 是就深圳共情团
[22:44.24 - 22:46.44] 很大的很大的好处
[22:46.44 - 22:46.64] 对
[22:46.64 - 22:47.84] 我们之前老讲
[22:47.84 - 22:48.84] 他们上第四角
[22:48.84 - 22:49.44] 上第四角
[22:49.44 - 22:51.04] 他拥有那个四角
[22:51.04 - 22:52.24] 他拥有这种相当的
[22:52.24 - 22:53.04] 上第四角
[22:53.04 - 22:53.84] 他不知有行为
[22:53.84 - 22:55.84] 他有答内心的小朋友
[22:55.84 - 22:56.04] 对
[22:56.04 - 22:57.44] 因为我知道你还看出了球吗
[22:57.44 - 22:58.24] 就是很多时候
[22:58.24 - 22:59.04] 我们看了一种
[22:59.04 - 23:01.04] 就是大家觉得某个球员
[23:01.04 - 23:02.84] 就是我们站在府看的这个视角上
[23:02.84 - 23:04.84] 他才能这一种穿出的这个球
[23:04.84 - 23:05.44] 比如说没戏
[23:05.44 - 23:07.24] 但老讲说他穿出那个线路
[23:07.24 - 23:08.84] 只有他才能看到的这个
[23:08.84 - 23:09.04] 对
[23:09.04 - 23:09.84] 那是
[23:09.84 - 23:11.04] 把空间这强者
[23:11.04 - 23:12.44] 你敢通往什么乐吧
[23:12.44 - 23:13.84] 他就是
[23:13.84 - 23:14.64] 他这场的话
[23:14.64 - 23:16.04] 大家都讲到的
[23:16.04 - 23:17.44] 但是最好的地方
[23:17.44 - 23:19.24] 这个其实就是某种意义上的
[23:19.24 - 23:20.24] 就是我没可以理解
[23:20.24 - 23:21.84] 为他有这个你们讲的
[23:21.84 - 23:23.24] 实际上某些里面的最终
[23:23.24 - 23:24.04] 努力
[23:24.04 - 23:24.44] 确实
[23:24.44 - 23:26.84] 但就是他有意图的分析能力
[23:26.84 - 23:28.84] 但他可能脑子中还是做了一个
[23:28.84 - 23:30.44] 因为他的计算能力
[23:30.44 - 23:32.04] 他没有把所有意图做的组合
[23:32.04 - 23:33.04] 做的综合判断
[23:33.04 - 23:35.04] 但他确实做了一个很强确的分析能力
[23:35.04 - 23:37.04] 他说过就是强点最好的办法是
[23:37.04 - 23:39.04] 就只有一个人不用强
[23:39.04 - 23:41.44] 我就跑到那个只有一个地方之可以吧
[23:41.44 - 23:42.04] 所以教主
[23:42.04 - 23:44.44] 就是在这些这个里面
[23:44.44 - 23:45.84] 他会不会出现幻觉
[23:45.84 - 23:46.64] 或者这个里面
[23:46.64 - 23:47.44] 到底有没有幻觉呢
[23:47.44 - 23:48.04] 这个问题
[23:48.04 - 23:48.64] 很好
[23:48.64 - 23:49.44] 首先
[23:49.44 - 23:50.44] 幻觉这个词最早
[23:50.44 - 23:52.44] 却远于大圆模型的很多说话嘛
[23:52.44 - 23:54.24] 其实这里要肯定要试另一个词
[23:54.24 - 23:55.84] 就是过去两年
[23:55.84 - 23:57.84] 我觉得有太多例子证明了
[23:57.84 - 24:00.04] 就是Skating Law就是单独加数据
[24:00.04 - 24:01.64] 是不能帮助见到幻觉的
[24:01.64 - 24:03.64] 今天其实幻觉比得也很高
[24:03.64 - 24:05.44] 而其实是一些别的东西
[24:05.44 - 24:06.84] 比如说
[24:06.84 - 24:07.84] 刚刚说到比如说
[24:07.84 - 24:09.04] 我对我做一些系统
[24:09.04 - 24:10.24] 那现场的行为
[24:10.24 - 24:11.84] 我有机会让他重新自我迭大
[24:11.84 - 24:12.64] 还自我眼睛
[24:12.64 - 24:13.64] 是通过一些别的
[24:13.64 - 24:15.24] 其实包括强化学习任务法制
[24:15.24 - 24:16.04] 也是为了解决
[24:16.04 - 24:17.84] 幻觉也可以很好的几个幻觉
[24:17.84 - 24:19.44] 就这个东西其实也是
[24:19.44 - 24:22.24] 我们这样做很抓紧的方向之一
[24:22.24 - 24:23.44] 但是本质就是
[24:23.44 - 24:24.84] 确实已经太多例子证明
[24:24.84 - 24:27.24] 其实单独加数据是不能把解决幻觉
[24:27.24 - 24:28.44] 那这个问题看怎么解决
[24:28.44 - 24:29.44] 就幻觉这个问题
[24:29.44 - 24:30.84] 或者是幻觉的这个事儿
[24:30.84 - 24:32.04] 就是在我们的意义
[24:32.04 - 24:33.24] 当他在意识到这样的问题
[24:33.24 - 24:33.44] 当他在意识到这样的问题
[24:33.44 - 24:34.44] 当他在意识到这样的问题
[24:34.44 - 24:37.24] 就让他意识到这个词不对的
[24:37.24 - 24:39.24] 就让AI或者让你们这个系统
[24:39.24 - 24:40.64] 意识到这个问题的
[24:40.64 - 24:40.84] 对
[24:40.84 - 24:43.44] 然后他会会针对性地做感觉
[24:43.44 - 24:44.84] 怎么能让他意识到
[24:44.84 - 24:46.24] 或者这个涉不涉解到
[24:46.24 - 24:49.04] 被牵连这个所谓的AI直觉的问题
[24:49.04 - 24:49.64] 不不
[24:49.64 - 24:50.44] 但幻觉的
[24:50.44 - 24:51.64] 这一次到的方式是
[24:51.64 - 24:53.64] 他知道你自己知道结果不对
[24:53.64 - 24:55.04] 就是因为我产生幻觉早智
[24:55.04 - 24:56.44] 最后我又撞了
[24:56.44 - 24:58.04] 或者我做发生了机场
[24:58.04 - 24:59.84] 他回去说有意不及
[24:59.84 - 25:01.24] 这个机会有问题的
[25:01.24 - 25:03.04] 我应该去改变这个东西
[25:03.04 - 25:04.24] 在自动价值里面
[25:04.24 - 25:05.64] 是不是幻觉的这个问题
[25:05.64 - 25:06.84] 或者是这个
[25:06.84 - 25:08.24] 产生危险性的这个问题
[25:08.24 - 25:09.24] 他相对于来讲
[25:09.24 - 25:10.84] 还会更好一些
[25:10.84 - 25:12.44] 因为他这个规则
[25:12.44 - 25:14.44] 或者他整个人类的交通系统
[25:14.44 - 25:16.24] 他还是比较亡贝的
[25:16.24 - 25:18.64] 不过但他产生的幻觉的代价很高
[25:18.64 - 25:20.24] 他的并不并不并不缠
[25:20.24 - 25:21.64] 他确实容易降低
[25:21.64 - 25:23.84] 但是降低的标要求很高
[25:23.84 - 25:24.64] 所以其实
[25:24.64 - 25:25.04] 当然
[25:25.04 - 25:25.84] 产生的还一般
[25:25.84 - 25:26.24] 不叫
[25:26.24 - 25:27.84] 不是用幻觉来形容问题
[25:27.84 - 25:29.04] 但幻觉对你的这个
[25:29.04 - 25:30.04] 对你的这个
[25:30.04 - 25:30.44] 应该是
[25:30.44 - 25:30.80] 抗死馆的
[25:30.80 - 25:31.84] 婚礼的后果
[25:31.84 - 25:33.64] 其实还是这个非常需要的
[25:33.64 - 25:34.24] 是真的
[25:34.24 - 25:35.44] 人生不理的
[25:35.44 - 25:36.64] 怎么会有什么出来
[25:36.64 - 25:37.84] 表达这个
[25:37.84 - 25:38.44] 幻觉这个
[25:38.44 - 25:39.44] 就在中央价数
[25:39.44 - 25:41.84] 或者在屋里这个领域里面的
[25:42.24 - 25:42.84] 就是
[25:42.84 - 25:45.04] 就是系统对钢队对一些判断
[25:45.04 - 25:46.44] 发生了严重的数字
[25:46.44 - 25:47.44] 我觉得他不会过来
[25:47.44 - 25:48.04] 但是就过来
[25:49.04 - 25:50.04] 就是倒不是这种
[25:50.04 - 25:50.84] 确实没有
[25:50.84 - 25:52.44] 幻觉一个这么精确的词
[25:52.44 - 25:54.64] 但本质更多的其实是对周围石
[25:54.64 - 25:56.04] 周围一图的判断
[25:56.04 - 25:57.04] 错误
[25:57.04 - 25:58.24] 我觉得你不会过来
[25:58.24 - 25:59.04] 你会让我就开了
[25:59.04 - 26:00.04] 结果你突然过来
[26:00.04 - 26:01.04] 这种
[26:01.04 - 26:02.04] 这种严重的改作
[26:02.04 - 26:03.04] 我觉得就
[26:03.04 - 26:03.84] 前面这一回过来
[26:03.84 - 26:04.64] 结果你
[26:04.64 - 26:05.84] 反正90过来了
[26:05.84 - 26:06.44] 我买钢了
[26:06.44 - 26:08.04] 那我这些选择就有问题了
[26:08.04 - 26:09.44] 所以其实是这样的
[26:09.44 - 26:10.84] 其实是这样的就错误
[26:11.84 - 26:13.24] 就是其实你刚才讲到了
[26:13.24 - 26:14.40] 就是我们这个2.0
[26:14.40 - 26:15.64] 它是一个身为的概念
[26:15.64 - 26:17.04] 它可能就是整个
[26:17.04 - 26:17.84] AI在
[26:17.84 - 26:20.04] 训练AI在这个训练模型
[26:20.04 - 26:21.84] 在AI在驱动
[26:21.84 - 26:23.64] 驱动整一个所有的一切
[26:23.64 - 26:26.04] 那在这个过程里面
[26:26.04 - 26:27.84] 怎么样能够就是
[26:27.84 - 26:32.04] 一直确保我的系统是安全的
[26:32.04 - 26:33.04] 就是一直
[26:33.04 - 26:35.04] 一直它是不会被忽然的
[26:35.04 - 26:36.84] 或者是在这个里面
[26:36.84 - 26:38.04] 它是一直是
[26:38.04 - 26:40.04] 能够符合我们的这个
[26:41.24 - 26:42.64] 就不出现幻觉的
[26:42.64 - 26:43.84] 不是 首先是这样
[26:43.84 - 26:45.84] 它首先它有
[26:45.84 - 26:47.24] 它非常精确的评价体系
[26:47.24 - 26:50.04] 知道我出现这些问题的概率有多少
[26:50.04 - 26:51.24] 这套也是我们设计的
[26:51.24 - 26:52.24] 另外设计的
[26:52.24 - 26:53.44] 它其实就是什么是
[26:53.44 - 26:54.44] 好像不好得概念
[26:54.44 - 26:56.44] 但我没有去折告它怎么评价
[26:56.44 - 26:57.64] 我们也会看到这个指标的
[26:57.64 - 26:58.44] 不断提升
[26:58.44 - 26:59.44] 但是还一点就是
[26:59.44 - 27:00.64] 就算这样发生
[27:00.64 - 27:02.04] 要AI来判断
[27:02.04 - 27:03.04] 有多少概率成坏
[27:03.04 - 27:05.04] 也比人判断准
[27:05.04 - 27:06.44] 就人到一个时候
[27:06.44 - 27:07.64] 就随着系统提升
[27:07.64 - 27:08.44] 人可连是不是
[27:08.44 - 27:09.44] 幻觉判断都不容易
[27:10.44 - 27:12.44] 这个就是另一个就是
[27:12.44 - 27:14.44] 确实至少就说
[27:14.44 - 27:15.44] 机器为止
[27:15.44 - 27:16.44] 所有的具概率模型
[27:16.44 - 27:18.44] 没法以另类的幻觉
[27:18.44 - 27:19.44] 但至少从
[27:19.44 - 27:20.44] 让AI来驱动它
[27:20.44 - 27:21.44] 去改进
[27:21.44 - 27:22.44] 能比人群的改进
[27:22.44 - 27:23.44] 提升速度会快很多
[27:23.44 - 27:24.44] 挺晚晚高的
[27:25.44 - 27:27.44] 就是刚才讲到这个世界萌晓
[27:27.44 - 27:28.44] 2.0的时候
[27:28.44 - 27:30.44] 其实就是它很明显的对于
[27:30.44 - 27:32.44] 我们整个系统
[27:32.44 - 27:34.44] 训练的速度
[27:34.44 - 27:35.44] 效率它是有的
[27:35.44 - 27:36.44] 是的一个提升的
[27:36.44 - 27:37.44] 对于我们这个
[27:37.44 - 27:38.44] 其实速度是
[27:38.44 - 27:39.44] 也意味着对于我们
[27:39.44 - 27:40.44] Rotaxi的落地
[27:40.44 - 27:41.44] 它其实也是一个
[27:41.44 - 27:42.44] 字的提升
[27:42.44 - 27:43.44] 或者是一个
[27:43.44 - 27:44.44] 效率的提升
[27:44.44 - 27:45.44] 所以以前可能
[27:45.44 - 27:46.44] 需要一个团队
[27:46.44 - 27:47.44] 或现在需要一个
[27:47.44 - 27:48.44] AI的这个引擎
[27:48.44 - 27:49.44] 我们模型就行了
[27:49.44 - 27:51.44] 首先第一
[27:51.44 - 27:52.44] 我们说的可能
[27:52.44 - 27:53.44] 不是固定区域
[27:53.44 - 27:54.44] 是更多的区域
[27:54.44 - 27:55.44] 是
[27:55.44 - 27:56.44] 更多的区域
[27:56.44 - 27:57.44] 还有更繁忙的路段
[27:57.44 - 27:58.44] 比如说高峰期
[27:58.44 - 27:59.44] 这种非常繁忙的路段
[27:59.44 - 28:00.44] 以及一些
[28:00.44 - 28:01.44] 可能之前
[28:01.44 - 28:02.44] 反正不太了解国家
[28:02.44 - 28:03.44] 一些其他的
[28:03.44 - 28:04.44] 市场的一个机会
[28:04.44 - 28:06.44] 这个是能带来直接的好处的
[28:06.44 - 28:07.44] 我们在这些地方的话
[28:07.44 - 28:08.44] 我就用了
