[00:00.05 - 00:03.73] 高盛刚刚发了一份最新的研究报告
[18:02.81 - 18:05.41] 它产生出来的那些增量利润
[18:05.41 - 18:08.65] 几乎就不需要再去扣除额外增加的行政
[18:08.65 - 18:10.61] 或者常规研发开支了
[18:10.61 - 18:12.49] 等于是卖一颗转一颗纯粒
[18:12.49 - 18:13.05] 没错
[18:13.05 - 18:15.21] 专道的钱简直是像铺布一样
[18:15.21 - 18:17.41] 直接流向利润表的最底线
[18:17.41 - 18:18.77] 这就是支撑高盛
[18:18.77 - 18:22.61] 给出这种利润爆发式增长预期的核心引擎
[18:22.61 - 18:24.45] 这太誘人了
[18:24.45 - 18:25.05] 那么
[18:25.05 - 18:29.81] 华尔街到底是怎么给这种极其依赖技术地带
[18:29.81 - 18:33.29] 同时精英杠杆又拉满的商业模式
[18:33.29 - 18:35.65] 来做中局定价的
[18:35.65 - 18:36.49] 这就涉及到了
[18:36.49 - 18:38.25] 刚才我们一开始提到的
[18:38.25 - 18:40.33] 高盛上条目标价的具体
[18:40.33 - 18:42.09] 计算逻辑了
[18:42.09 - 18:44.49] 这里的细节值的仔细推桥
[18:44.49 - 18:45.77] 我们先看A股
[18:45.77 - 18:48.57] A股给了363元的目标价
[18:48.57 - 18:50.37] 包括说是基于2030年
[18:50.37 - 18:53.61] 预期责现摄影率的45.2倍得出的
[18:53.61 - 18:54.81] 这我能理解
[18:54.81 - 18:58.93] 不就是把公司未来四年那种高速增长的潜力
[18:58.93 - 19:01.49] 给提前折算到了今天的估值体系里
[19:01.49 - 19:02.09] 对
[19:02.09 - 19:03.37] 这是逛藏操作
[19:03.37 - 19:05.25] 但是对于H股
[19:05.25 - 19:08.33] 也就是港股内510港元的目标价
[19:08.33 - 19:10.01] 我其实感到非常困惑
[19:10.01 - 19:11.33] 哪里让你困惑了
[19:11.33 - 19:12.45] 按照高上的模型
[19:12.45 - 19:14.89] 510港元的目标价意味着什么
[19:14.89 - 19:18.09] 意味着H股是基于58.3倍的2030年
[19:18.09 - 19:19.93] 预期是用率来计算的
[19:19.93 - 19:20.77] 你算算
[19:20.77 - 19:25.73] 这相当于H股对A股有高达29%的估值一价
[19:25.73 - 19:27.49] 这个数字确实很反常
[19:27.49 - 19:28.17] 对啊
[19:28.17 - 19:29.93] 只要平时超股的朋友都知道
[19:29.93 - 19:31.85] 由于内地市场的资金流动性
[19:31.85 - 19:33.25] 通常更加充裕
[19:33.25 - 19:34.29] 一般情况下
[19:34.29 - 19:37.25] A股的价格往往是比H股贵的
[19:37.25 - 19:40.25] A股对H股存在显著的一价才对
[19:40.25 - 19:43.45] 那为什么高盛在这里完全颠覆了这个尝试
[19:43.45 - 19:46.49] 反而假设国际资本会给出比内地资金高出
[19:46.49 - 19:48.37] 将近三分之一的估值呢
[19:48.37 - 19:52.61] 这个是一个非常专业且极其深刻的质疑
[19:52.61 - 19:53.73] 我告诉你
[19:53.73 - 19:55.65] 高盛在这个细节上
[19:55.65 - 19:57.93] 改变了他们的估值矛点
[19:57.93 - 20:02.33] 而这恰恰是整份报告里最最微妙的信号质疑
[20:02.33 - 20:02.89] 怎么说
[20:02.89 - 20:03.69] 以前啊
[20:03.69 - 20:07.29] 因为蓝起科技在H股的交易历史比较短
[20:07.29 - 20:09.09] 或者说代表性不足
[20:09.09 - 20:11.25] 高盛在计算两第1价的时候
[20:11.25 - 20:15.45] 总是需要去参考市场上其他公司的历史平均数据
[20:15.45 - 20:17.37] 比如像照一创新
[20:17.37 - 20:18.33] 微拆奔利
[20:18.33 - 20:23.17] 还有比亚迪这些同样拥有A++架构的大型实体公司
[20:23.17 - 20:23.69] 哦
[20:23.69 - 20:25.53] 就是找几个老大哥来做参考先
[20:25.53 - 20:26.81] 但这次完全不同了
[20:26.81 - 20:28.29] 发生了什么改变
[20:28.29 - 20:31.25] 高盛现在放弃了那个行业参考线
[20:31.25 - 20:33.97] 他们直接使用了蓝起科技自己
[20:33.97 - 20:38.49] 在过去20个交易日里的真实历史平均HTA一价数据
[20:38.49 - 20:40.29] 来作为接下来的估值基础
[20:40.29 - 20:41.49] 等等这意味着什么
[20:41.49 - 20:44.25] 这意味着在国际机构投资者的眼中
[20:44.25 - 20:47.37] 这家公司已经彻底托台换股了
[20:47.37 - 20:52.41] 他不再是一个需要去参考其他什么传统硬件制造龙头的影资标底
[20:52.41 - 20:53.73] 而是自称一派了
[20:53.73 - 20:54.49] 对
[20:54.49 - 20:58.81] 在全球算力基础建设式的这个巨大的投资版图里
[20:58.81 - 21:01.65] 蓝起科技已经确立了自己作为
[21:01.65 - 21:05.41] 纯正AI硬件代理的绝对独立定价权
[21:05.41 - 21:07.05] 我的天啊
[21:07.05 - 21:09.33] 这个视角的转编太关键了
[21:09.33 - 21:12.77] 这说明国际资金在给这家公司定价的时候
[21:12.77 - 21:14.93] 他们心里对标的竞争对手
[21:14.93 - 21:18.41] 根本就不再是中国的其他那些制造业企业
[21:18.41 - 21:21.97] 他们对标的是全球的AI算力核心供应链
[21:21.97 - 21:24.29] 国际资本是心甘情愿
[21:24.29 - 21:27.93] 为了这种在全球范围内都极其稀缺的技术庇累
[21:27.93 - 21:30.53] 去支付那个多出来的流动性义价
[21:30.53 - 21:31.45] 没错
[21:31.45 - 21:34.73] 这才是最底层的估值逻辑重购
[21:34.73 - 21:35.45] 好
[21:35.45 - 21:36.53] 那听到这里
[21:36.53 - 21:39.85] 这听起来简直就是一条从底层规骗技术
[21:39.85 - 21:43.77] 一路完美延伸到财务报表的超级增长举舰
[21:43.77 - 21:46.97] 但作为喜欢多角度冷静思考的我们
[21:46.97 - 21:49.33] 必须得把大家拉回现实问一句
[21:49.33 - 21:52.97] 这个剧本它有可能在哪个环节彻底崩盘吗
[21:52.97 - 21:54.73] 既然这块蛋糕这么誘人
[21:54.73 - 21:56.77] 高盛在极度看多之余
[21:56.77 - 21:59.13] 有没有指出一些潜在的按胶
[21:59.13 - 22:02.09] 保持这种防御性思考是非常必要的
[22:02.09 - 22:05.65] 我们在看研爆的时候绝对不能只看的话的病
[22:05.65 - 22:08.49] 其实高盛在报告里并没有盟募罗官
[22:08.49 - 22:12.25] 他们非常明确客观的指出了三大下行风险
[22:12.25 - 22:13.81] 也就是当塞尔尔尔尔尔尔尔尔尔
[22:13.81 - 22:14.89] 第一个风险是什么
[22:14.89 - 22:17.81] 首先是红关续穷层面的整体风险
[22:17.81 - 22:21.57] 你又知道这套急剧爆发力的毛利率模型
[22:21.57 - 22:26.01] 它最根本的基石是全球AI似乎切的出货量
[22:26.01 - 22:29.49] 以及传统同用似乎切换机朝的持续反容
[22:29.49 - 22:31.89] 也就是大家的一直买似乎切才行
[22:31.89 - 22:32.61] 对
[22:32.61 - 22:34.81] 如果全球那些科技巨头
[22:34.81 - 22:37.13] 哪天突然觉得AI不赚钱了
[22:37.13 - 22:40.69] 对底层基础建设的资本开支开始放缓
[22:40.69 - 22:44.09] 那哪怕你拦起科技的接口芯片技术再牛
[22:44.09 - 22:45.45] 深透率再高
[22:45.45 - 22:47.97] 整个市场的蛋糕如果萎缩了
[22:47.97 - 22:49.17] 那你也独木难知
[22:49.17 - 22:49.77] 没错
[22:49.77 - 22:52.65] 这就是所谓的皮质不存毛疆腰腹
[22:52.65 - 22:54.69] 这属于细风系风险了
[22:54.69 - 22:55.65] 那第二个风险呢
[22:55.65 - 22:58.41] 第二个风险出在他们自己的执行层面上
[22:58.41 - 23:00.93] 也就是我们刚才花了很多时间讨论的那个
[23:00.93 - 23:03.29] 永远在奔跑的毛利率魔法
[23:03.29 - 23:04.21] 跑不动了是吧
[23:04.21 - 23:04.93] 对
[23:04.93 - 23:08.57] 比如如果那款被继续后望的集齐复杂的
[23:08.57 - 23:09.85] PCIe交换机
[23:09.85 - 23:12.29] 没能在2026年顺利流骗
[23:12.29 - 23:14.33] 或者说在台积电那种呆共产
[23:14.33 - 23:16.77] 进行两率爬坡的市场阶段
[23:16.77 - 23:18.65] 遭遇了严重的工程阻碍
[23:18.65 - 23:20.81] 就会导致新产品延期上市
[23:20.81 - 23:21.65] 没错
[23:21.65 - 23:24.65] 新产品推向市场的速度一旦拿不到预期
[23:24.65 - 23:25.81] 哪怕只晚了半年
[23:25.81 - 23:27.01] 你想想会发生什么
[23:27.01 - 23:29.37] 那新产品就没法接力了
[23:29.37 - 23:32.97] 而老产品又不得不按照行业的铁率降价
[23:32.97 - 23:34.21] 哇那样的话
[23:34.21 - 23:36.21] 那个38%的尽力软
[23:36.21 - 23:38.29] 年军负合增长率预期
[23:38.29 - 23:40.81] 瞬间就会变成一个巨大的泡沫
[23:40.81 - 23:42.29] 完全正确
[23:42.29 - 23:45.53] 在芯片这种试错成本集齐高王
[23:45.53 - 23:48.93] 周期又集齐漫长的精密制造业里
[23:48.93 - 23:51.57] 一次流骗的失败或者言务
[23:51.57 - 23:53.17] 真的有可能导致公司
[23:53.17 - 23:56.61] 把最宝贵的半年暴力时间传口
[23:56.61 - 23:58.21] 彻底拱手让人
[23:58.21 - 24:02.53] 确实硬件制造没有重来一次的快击键
[24:02.53 - 24:04.41] 那报告里提到的最后一点
[24:04.41 - 24:06.17] 第三个风险是什么
[24:06.17 - 24:09.85] 第三点也是最让人睡不着觉的一点
[24:09.85 - 24:12.21] 竞争格局的突然恶化
[24:12.21 - 24:14.17] 但是你刚才不是说
[24:14.17 - 24:17.29] MRCD和MDB这种高端芯片的门槛
[24:17.29 - 24:20.25] 高的吓人全世界都没几家能做吗
[24:20.25 - 24:22.13] 门槛确实高
[24:22.13 - 24:25.61] 但是在向98年征长率
[24:25.61 - 24:28.85] 以及那么惊人的毛利率的极致优惑下
[24:28.85 - 24:30.65] 资本是疯狂的
[24:30.65 - 24:33.53] 会不会有那种资金实力极其熊厚
[24:33.53 - 24:37.77] 试错预算没有上线的全球半导体巨头
[24:37.77 - 24:40.29] 直接通过重金硬扎研发
[24:40.29 - 24:42.97] 强行突破现有的专利封锁
[24:42.97 - 24:44.77] 重上之下必有勇夫
[24:44.77 - 24:47.01] 对 甚至更可怕的是
[24:47.01 - 24:49.73] 有没有可能突然从某个实验实力
[24:49.73 - 24:52.09] 跑出一条完全绕开了现有
[24:52.09 - 24:54.61] 整个架构的全新基础路线
[24:54.61 - 24:57.01] 直接把蓝起科技现有的这座
[24:57.01 - 24:59.81] 兼顾的护程盒给降围打击了
[24:59.81 - 25:01.77] 也就是连赛盗都给你换了
[25:01.77 - 25:02.61] 没错
[25:02.61 - 25:05.93] 这些风险都是你无法在一张完美的疫验
[25:05.93 - 25:09.09] 财务模型表国里精确计算出来的
[25:09.09 - 25:12.05] 但他们在这个信息爆炸的科技时代
[25:12.05 - 25:13.73] 却随时都可能发生
[25:13.73 - 25:16.61] 这种对风险的客观拆解
[25:16.61 - 25:19.05] 确实让我们重新冷静下来了
[25:19.05 - 25:21.41] 今天我们和大家一起穿透了
[25:21.41 - 25:24.09] 高胜的这份非常专业的投行研爆
[25:24.09 - 25:26.69] 也输了一条非常清晰的逻辑线索
[25:26.69 - 25:28.57] 是一条从软件需求
[25:28.57 - 25:30.77] 倒闭硬件变化的线索
[25:30.77 - 25:31.57] 对
[25:31.57 - 25:32.65] 大家可以看到
[25:32.65 - 25:33.81] AI的进化
[25:33.81 - 25:36.37] 它早已不仅仅停留在软件层面上
[25:36.37 - 25:38.37] 那个大模型的以待了
[25:38.37 - 25:40.57] 在这个代理型AI开始引爆
[25:40.57 - 25:42.41] 复杂计算需求的今天
[25:42.41 - 25:44.57] 算理革命真实的平景
[25:44.57 - 25:47.93] 其实已经悄悄转移到了物理硬件底层
[25:47.93 - 25:50.85] 也就是数据到底是怎么在芯片之间
[25:50.85 - 25:52.33] 连接和搬运的
[25:52.33 - 25:54.01] 搬运数据的速度
[25:54.01 - 25:56.25] 决定了计算的最终速度
[25:56.25 - 25:57.25] 没错
[25:57.25 - 25:58.45] 蓝起刻意
[25:58.45 - 25:59.85] 正是因为他们用一种
[25:59.85 - 26:02.73] 极其高深的混合型号处理技术
[26:02.73 - 26:05.97] 解决了电信号在极限高屏下的物理摔减
[26:05.97 - 26:07.29] 和扭曲问题
[26:07.29 - 26:10.09] 成功卡为了这个不怎么显山路水
[26:10.09 - 26:13.09] 却又绝对不可获缺的硬件掩护药导
[26:13.09 - 26:15.61] 才获得了这么令人注目的利润与气
[26:15.61 - 26:17.93] 也这再次向我们展示了科技投资里
[26:17.93 - 26:19.57] 一个非常经典的法则
[26:19.57 - 26:20.73] 卖产资效应
[26:20.73 - 26:21.41] 对
[26:21.41 - 26:23.21] 有时候最赚钱的生意
[26:23.21 - 26:26.73] 根本不是你自己亲自去逃金热里挖筋子
[26:26.73 - 26:29.41] 而是以一种绝对的垄断姿态
[26:29.41 - 26:31.49] 为所有跑去挖筋子的人
[26:31.49 - 26:33.93] 铺设那条惊伤的唯一的铁路
[26:33.93 - 26:34.73] 是的
[26:34.73 - 26:39.37] 当所有人的目光都还停留在那些药眼的GPU上时
[26:39.37 - 26:41.45] 能够静下心来理解这些
[26:41.45 - 26:43.77] 底层数据管道的物理重够
[26:43.77 - 26:47.65] 才是看懂下一代服务器价购眼镜的真正关键所在
[26:47.65 - 26:50.69] 那么在今天这期深度解析的最后
[26:50.69 - 26:53.61] 我想给你也就是正在收听的各位
[26:53.61 - 26:57.01] 留下一个彻底跳出我们今天讨论的
[26:57.01 - 27:00.13] 规矩芯片框架的思考题
[27:00.17 - 27:01.69] 还有一个隐藏彩单
[27:01.69 - 27:02.57] 是的
[27:02.57 - 27:05.29] 其实我们在看高盛这份报告的时候
[27:05.29 - 27:07.65] 在一个极其不气耳的角落里
[27:07.65 - 27:10.81] 跌进了一具管理层非常低调的透露
[27:10.81 - 27:14.53] 原话是光学互联IC正在演发中
[27:14.53 - 27:16.05] 光学互联IC
[27:16.05 - 27:17.17] 没错
[27:17.17 - 27:18.21] 大家伤一下
[27:18.21 - 27:20.81] 今天我们花了整整一期节目的时间
[27:20.81 - 27:24.13] 去探讨怎么利用各种复杂的谋理电路
[27:24.13 - 27:27.17] 去造义推重定时期和缓冲芯片
[27:27.17 - 27:30.69] 来接近全力的地扣电信号在同线
[27:30.69 - 27:33.77] 和规片里传输使得物理损失
[27:33.77 - 27:34.53] 但是
[27:34.53 - 27:35.61] 你有没有想过
[27:35.61 - 27:37.37] 如果未来的某一天
[27:37.37 - 27:39.05] 这些极其容易发热
[27:39.05 - 27:41.41] 受限于电组的电子通道
[27:41.41 - 27:45.09] 被彻底替换成了几乎没有任何物理损耗
[27:45.09 - 27:48.61] 速度直接接近光速的光子通道
[27:48.61 - 27:51.69] 当光通信技术不再紧紧用来连接激战
[27:51.69 - 27:54.41] 而是真正吓成到服务器主板上
[27:54.41 - 27:56.77] 甚至直接吓成到每一颗芯片
[27:56.77 - 27:59.21] 几别的微观结构里的那一颗
[27:59.21 - 28:02.49] 今天我们所熟悉的所有的这些接口瓶景
[28:02.49 - 28:03.81] 所有的同线
[28:03.81 - 28:06.81] 甚至是整个AI硬件的物理形态
[28:06.81 - 28:09.73] 会经历一场怎样翻天腹地的重速
[28:09.73 - 28:11.41] 这个问题就留给你自己
[28:11.41 - 28:15.21] 在数字世界的脉搏中去细细寻找答案吧
[28:15.21 - 28:16.45] 感谢你的收听
[28:16.45 - 28:17.77] 保持你的好奇心
[28:17.77 - 28:21.53] 我们下一次深度解析 再见
[28:21.53 - 28:22.53] 等音
