[00:00.00 - 00:02.68] 本地Agent是AI發展現在最重要的領域
[13:11.04 - 13:11.92] 打開了這個網頁
[13:11.92 - 13:12.72] 我們來播放一下
[13:12.72 - 13:13.52] 一分鐘口播稿
[13:13.52 - 13:14.72] 本週五條 A.I.新聞
[13:14.72 - 13:15.28] 大家好
[13:15.28 - 13:16.60] 這裡是一分鐘 A.I.快訊
[13:16.60 - 13:17.12] 第一
[13:17.12 - 13:18.16] Open A.I 的推理模型
[13:18.16 - 13:19.28] 在80年數學難題上
[13:19.28 - 13:19.92] 找到新構造
[13:19.92 - 13:21.56] A.I.正走進真正的前言科研
[13:21.56 - 13:23.08] 現在這一步大家有沒有感覺
[13:23.08 - 13:25.20] 其實已經有點工作流的感覺了
[13:25.20 - 13:27.44] 之前搜索 skill 負責找信息
[13:27.44 - 13:28.36] 派負責整理
[13:28.36 - 13:30.76] tts 負責把它變成語音
[13:30.84 - 13:33.72] Html 網頁負責把這個結果落地成一個
[13:33.72 - 13:35.28] 可以打開可以分享的
[13:35.28 - 13:36.00] 這樣一個文件
[13:36.00 - 13:37.76] 我們看到它這個步驟的總結
[13:37.76 - 13:39.24] 先生成了一個口播稿
[13:39.24 - 13:41.92] 然後轉成了一個 mp3 的音頻格式
[13:41.92 - 13:42.36] 最後呢
[13:42.36 - 13:44.00] 生成一個 html 的網頁
[13:44.00 - 13:45.16] 以前聊天機器的人
[13:45.16 - 13:45.92] 只能把結果
[13:45.92 - 13:47.16] 舒服在你的對話框裡
[13:47.16 - 13:47.56] 派呢
[13:47.56 - 13:48.52] 卻可以把答案
[13:48.52 - 13:50.16] 編成你電腦上的文件
[13:50.16 - 13:50.96] 網頁
[13:50.96 - 13:51.36] 音頻
[13:51.36 - 13:52.00] 很多人擔心
[13:52.00 - 13:52.80] Html 跑任務
[13:52.80 - 13:53.52] 會不會很貴
[13:53.52 - 13:54.28] 很消耗偷懇
[13:54.28 - 13:56.16] 這麼差一段任務 是吧
[13:56.16 - 13:57.08] 但我的體感是
[13:57.08 - 13:58.36] 這種小任務成本
[13:58.36 - 13:59.80] 完全沒有想像中的高
[13:59.84 - 14:00.68] 像我跑任務
[14:00.68 - 14:02.80] 這麼長一段的工具調用更執行
[14:02.80 - 14:05.20] 大概花費是0.3美元的額度
[14:05.20 - 14:06.60] 但實際支出要計得多
[14:06.60 - 14:08.52] 因為訂閱一個200美元的套餐
[14:08.52 - 14:10.84] 你就能用一個月5000到10000美元
[14:10.84 - 14:11.76] 的這樣 IPR的額度
[14:11.76 - 14:12.52] 更關鍵的是
[14:12.52 - 14:14.68] 派其實它的上下文提示是很短
[14:14.68 - 14:15.40] Pokem 下號呢
[14:15.40 - 14:16.36] 比其他代碼
[14:16.36 - 14:17.92] 只能提要低很多
[14:17.92 - 14:18.72] 第四個功能
[14:18.72 - 14:20.32] 我們給派來增加這個
[14:20.32 - 14:21.56] 生成圖片的功能
[14:21.56 - 14:23.00] 接下來我們就來安裝
[14:23.00 - 14:24.48] 這個現在的最強的生動模型
[14:24.48 - 14:25.44] GPT image 2
[14:26.32 - 14:27.04] 好安裝好了
[14:27.04 - 14:27.96] 這個 scale 原理
[14:28.00 - 14:29.88] 其實是調用 codex 裡面的
[14:29.88 - 14:31.40] GPT image 2來生圖
[14:31.40 - 14:33.48] 如果你訂閱的 GPT plus 或者 Pro
[14:33.48 - 14:35.28] 就可以把生圖能力也交給派
[14:35.28 - 14:35.88] 去使用了
[14:35.88 - 14:37.20] 我們來試一下這個 scale
[14:37.20 - 14:38.24] 聽下一個對話窗口
[14:38.24 - 14:39.48] 我們還是給剛剛我們
[14:39.48 - 14:41.12] 生成的這個新聞來配圖
[14:41.12 - 14:43.36] 根據這個文件的第一條 AI 新聞
[14:43.36 - 14:45.12] 用 GPT image 2
[14:45.12 - 14:47.84] 生成一張適合短視頻封面的圖片
[14:47.84 - 14:49.00] 封閣是簡潔的
[14:49.00 - 14:50.44] 3D科技感的圖片
[14:51.16 - 14:52.16] 好 任務完成了
[14:52.16 - 14:52.88] 我們先來看一下
[14:52.88 - 14:53.96] 第一條新聞是什麼
[14:53.96 - 14:55.56] 就是 Open i 的推理模型
[14:55.56 - 14:58.04] 在數學難器上找到新的構造
[14:58.04 - 14:59.32] 看一下這個圖片
[14:59.32 - 15:00.00] 非常不錯
[15:00.00 - 15:02.04] 就是完全符合了我們的要求
[15:02.04 - 15:03.04] 有這個科技感
[15:03.04 - 15:04.96] 然後主題也是剛剛那個
[15:04.96 - 15:06.24] AI新聞的那個主題
[15:06.24 - 15:08.48] 這個 scale 有一個小問題給大家說一下
[15:08.48 - 15:09.96] 在 Mac 上是直接可以用的
[15:09.96 - 15:10.80] 在 Windows 上
[15:10.80 - 15:12.48] 如果遇到這個腳本暴錯
[15:12.48 - 15:13.44] 其實完全不用慌
[15:13.44 - 15:15.08] 就是萬世界問個 AI
[15:15.08 - 15:16.28] 讓你的這個派證團
[15:16.28 - 15:18.64] 幫你去檢查你的 scale 裡面的腳本
[15:18.64 - 15:19.56] 有哪裡有 bug
[15:19.56 - 15:20.88] 然後修復再運行
[15:20.88 - 15:22.12] 它自己完全能夠修好
[15:22.12 - 15:22.80] 到這一步
[15:22.80 - 15:23.48] 我們其實看到
[15:23.48 - 15:25.32] 我們的派已經能搜索了
[15:25.32 - 15:27.16] 能讀資料 寫文稿
[15:27.16 - 15:28.56] 深層語音 深層圖片了
[15:28.56 - 15:29.52] 那最後一步
[15:29.52 - 15:31.72] 我們就是讓它來增加這個
[15:31.72 - 15:32.80] 做視頻的功能
[15:32.80 - 15:35.20] 我們直接搜索 iPad Frames 安裝
[15:35.20 - 15:37.76] 這個是我最近特別喜歡用的一個 scale
[15:37.76 - 15:40.12] 它非常適合做這個講解類的視頻
[15:40.12 - 15:41.92] 產品介紹科普動畫
[15:41.92 - 15:43.00] 然後過程演示
[15:43.00 - 15:44.20] 它的思路也很巧表
[15:44.20 - 15:46.44] 不是去直接讓 AI 深層視頻
[15:46.44 - 15:48.24] 還是先讓 Agent 寫一個
[15:48.24 - 15:49.92] 帶動畫的 HTML 網頁
[15:49.92 - 15:51.64] HTML 因為是用代碼組成的
[15:51.64 - 15:53.32] 所以它深層的時候非常穩定
[15:53.32 - 15:54.72] 又可編輯可預了
[15:54.72 - 15:57.88] 然後再竹針去渲染成一個完整的視頻
[15:57.88 - 15:58.72] 而且對你來說
[15:58.72 - 16:01.12] 你完全不需要去懂 HTML 裡面的
[16:01.12 - 16:02.08] 代碼是什麼意思
[16:02.08 - 16:04.16] 你只要告訴它你想要什麼結果
[16:04.16 - 16:05.36] 好 安裝好之後
[16:05.36 - 16:07.36] 我們來先跑一個比較小的 demo
[16:07.36 - 16:08.96] 聽它一個對話框
[16:08.96 - 16:12.48] 用 HyperFrames 做一個 20 秒的動畫
[16:12.48 - 16:15.16] 解釋什麼是 Agent 只深層 HTML
[16:15.16 - 16:16.68] 不需要去渲染視頻
[16:18.48 - 16:19.28] 我們來看結果
[16:19.28 - 16:20.20] 你看它深層好的
[16:20.20 - 16:21.36] 它能做標題
[16:21.36 - 16:23.92] 然後轉場圖形動畫 字幕的節奏
[16:23.92 - 16:26.12] 這個東西你繼續加上一些語音
[16:26.12 - 16:26.92] 加上一些圖片
[16:26.92 - 16:28.64] 其實就能變成一條完整的視頻
[16:28.64 - 16:31.52] 我們給拍 Agent 配上了這五個功能之後
[16:31.52 - 16:32.52] 我們最後來驗證一下
[16:32.52 - 16:34.84] 我們現在這個拍 Agent 它擁有的能力
[16:34.84 - 16:35.52] 比如說我問它
[16:35.52 - 16:37.12] 你現在安裝了哪些 skills
[16:37.12 - 16:38.32] 他們的位置在哪裡
[16:38.32 - 16:41.60] 你看拍會把它現在所有的技能都給列出來
[16:41.60 - 16:43.92] 到這裡 skill 一個一個都解鎖了
[16:43.92 - 16:46.88] 搜索的獨資料的語音的深層的視頻的
[16:46.88 - 16:49.04] 單獨看你其實看每一個都不複雜
[16:49.04 - 16:50.56] 但如果我們把它串起來
[16:50.56 - 16:52.64] 就能做很複雜 很複雜的任務
[16:52.64 - 16:55.00] 最後我們就來把這個整合起來
[16:55.00 - 16:56.48] 一起來做一個大的項目
[16:56.48 - 16:57.68] 最後這個案例裡面
[16:57.68 - 17:00.40] 我們想做一份行業的調源會報
[17:00.40 - 17:02.20] 假設我現在想要研究一個問題
[17:02.20 - 17:05.92] 就是一台英尾達的 GV200 NV定格72的 AI 機櫃
[17:05.92 - 17:07.52] 要賣300萬美元左右
[17:07.52 - 17:09.60] 那這些錢到底會用在的哪裡
[17:09.60 - 17:10.44] 花在的哪裡呢
[17:10.44 - 17:11.88] 我直接跟我的拍 Agent 說
[17:11.88 - 17:12.92] 做一個調源項目
[17:12.92 - 17:15.88] 一台英尾達 GV200 NV定格72的 AI 機櫃
[17:15.88 - 17:17.12] 錢到底花在的哪裡
[17:17.12 - 17:19.92] 要求做成中文的 HyperFrames 演講
[17:19.92 - 17:21.40] 用 TTS 配音
[17:21.40 - 17:23.92] 用 GPT 音樂器 To 深層 圖片素材
[17:23.92 - 17:25.80] 關鍵數字數據必須有來源
[17:25.80 - 17:28.04] 不確定地方寫清楚是孤算的
[17:28.04 - 17:29.60] 長度大約是兩分鐘左右
[17:29.60 - 17:30.68] 需要有字幕顯示
[17:30.68 - 17:32.12] 不需要渲染視頻發送
[17:32.12 - 17:32.88] 就這句話
[17:32.88 - 17:34.88] 其實我只要說我需要什麼結果
[17:34.88 - 17:36.92] 派就開始幫我自動拆解任務了
[17:38.44 - 17:38.96] 第一步
[17:38.96 - 17:40.92] 它會先調用 SocialSkill
[17:40.92 - 17:42.48] 去查音尾達官方的資料
[17:42.48 - 17:46.04] GV200 NV定格72的產品信息
[17:46.04 - 17:47.88] 公開的報導或者成本的孤算
[17:47.92 - 17:50.56] 第二步它會幫我去整理資料
[17:50.56 - 17:53.36] 把關鍵的數字跟來源都單獨記錄下來
[17:53.36 - 17:53.88] 第三步
[17:53.88 - 17:55.00] 它開始拆解成本了
[17:55.00 - 17:56.88] 比如說包含算立核心
[17:56.88 - 17:57.84] 網路的互聯
[17:57.84 - 17:59.24] 業人之類的這些成本
[17:59.24 - 18:01.56] 第四步它會開始寫中文的演講稿
[18:01.56 - 18:03.68] 把很硬的這種硬件的名詞
[18:03.68 - 18:05.20] 翻譯成人能聽的懂的話
[18:05.20 - 18:06.60] 第五步它調用 GPT
[18:06.60 - 18:08.44] 因為是 To 去深層圖片素材
[18:08.44 - 18:08.88] 第六步
[18:08.88 - 18:12.44] 它調用 HTTS 深層中文的語音解說
[18:12.44 - 18:12.88] 第七步
[18:12.88 - 18:15.12] 它才會用 HyperFrames 把標題業
[18:15.12 - 18:16.72] 成本拆解圖片動畫
[18:16.72 - 18:19.20] 已經全部組合成一個演講的介面
[18:19.20 - 18:21.92] 我拿到是這樣一個完整的項目文件夾
[18:21.92 - 18:23.16] 裡面有資料的筆記
[18:23.16 - 18:24.04] 有成本的拆解
[18:24.04 - 18:24.92] 有中文演講稿
[18:24.92 - 18:26.20] 有語音的文件
[18:26.20 - 18:27.56] 有所有圖片的素材
[18:27.56 - 18:28.72] 最重要的是還有一個
[18:28.72 - 18:32.00] 可以直接打開預覽的 HyperFrames 的這個頁面
[18:32.00 - 18:33.32] 大家來看一下這個效果
[18:33.32 - 18:35.28] 非常完整的一個介紹
[18:35.28 - 18:36.60] 因為搭 AIG 貴的
[18:36.60 - 18:38.08] 這樣一份視頻的資料
[18:38.08 - 18:39.12] 今天看一比帳
[18:39.12 - 18:42.52] 一台音尾搭 GB 200 NVL72 AIG 貴
[18:42.52 - 18:44.24] 300萬美元花在哪
[18:44.24 - 18:45.56] 先砍規格
[18:45.56 - 18:46.80] 因為搭官方說明
[18:46.80 - 18:48.48] NVL72 在業冷機跪裡
[18:48.48 - 18:49.52] 連結36個
[18:49.52 - 18:52.00] Gray CPU和72個不愛快要GPU
[18:52.00 - 18:54.60] 組成一個72GPU的 NVL 區域
[18:54.60 - 18:57.68] 整個 NVL 同性貸款130TBS
[18:57.68 - 19:00.04] HBM 3E 約13.4TB
[19:00.04 - 19:02.04] 價格沒有公開標價
[19:02.04 - 19:04.44] Tones Hardware 2026 引用業內來源
[19:04.44 - 19:07.12] 給出280-340萬美元
[19:07.12 - 19:10.00] 2024年 HSBC 估計約300萬
[19:10.00 - 19:12.60] 下面按300萬美元中位數算
[19:12.60 - 19:15.72] 第一項36顆 GB 200 Superjet
[19:15.72 - 19:18.36] HSBC 估每顆6到7萬美元
[19:18.36 - 19:20.20] 合計216到252萬美元
[19:20.20 - 19:21.56] 戰爭跪約7成到8成
[19:21.56 - 19:23.24] 單顆 Superjet 主要價值來自兩顆
[19:23.24 - 19:23.88] 不愛快要GPU
[19:23.88 - 19:25.60] GPU,GPU,HBM,和新景封裝
[19:25.60 - 19:26.40] IPK AI 孤算
[19:26.40 - 19:28.52] 單顆比200製造成本約6400美元
[19:28.52 - 19:29.40] HBM接近一半
[19:29.40 - 19:30.72] 新景封裝約1,100美元
[19:30.72 - 19:32.16] 邏輯規片低於15%
[19:32.16 - 19:33.60] 第二項互聯合網絡
[19:33.60 - 19:35.16] 機位裡有9個 NVL Switch tray
[19:35.16 - 19:35.72] 還有銅籃
[19:35.72 - 19:36.40] Kindytax 網卡
[19:36.40 - 19:37.08] Luvio DPU
[19:37.08 - 19:38.32] 管理網絡和本地存儲
[19:38.32 - 19:39.84] 公開資料沒有主項價格
[19:39.84 - 19:41.44] 按300萬總價扣掉 Superjet
[19:41.44 - 19:42.52] 這部分和其他系統鍵
[19:42.52 - 19:43.76] 合計大約幾十萬美元
[19:43.76 - 19:45.08] 第三項工程成本
[19:45.08 - 19:46.68] NVL 72公項約120,000
[19:46.68 - 19:47.84] 中量約1.36噸
[19:47.84 - 19:48.60] 你需要頁冷
[19:48.60 - 19:49.00] 供電
[19:49.00 - 19:49.64] 積軌結構
[19:49.64 - 19:50.56] 測試和集成
[19:50.56 - 19:51.96] ToneTower 也摸進Stanley數據
[19:51.96 - 19:53.52] Gb300NVL 72的冷卻部件
[19:53.52 - 19:54.92] 奉約4.986萬美元
[19:54.92 - 19:55.48] 這個數字
[19:55.48 - 19:56.64] 直代表冷卻不減量級
[19:56.64 - 19:57.24] 不含機防瑟
[19:57.24 - 19:58.48] CPU配點合約
[19:58.48 - 19:59.16] 結論很簡單
[19:59.16 - 19:59.72] 最大的錢
[19:59.72 - 20:01.28] 在GPU,HBM,先景封裝
[20:01.28 - 20:02.20] 和NVL生態
[20:02.20 - 20:03.72] 第二層是頁冷和電力工程
[20:03.72 - 20:04.96] 在網外是供給稀缺
[20:04.96 - 20:05.56] 軟件站
[20:05.56 - 20:06.36] 製飽和整櫃
[20:06.36 - 20:07.08] 集成一架
[20:07.08 - 20:08.00] 最不確定的良項
[20:08.00 - 20:09.24] 是實際成交價和飛行品
[20:09.24 - 20:09.76] 奉財分
[20:09.76 - 20:10.56] 他們隨客戶
[20:10.56 - 20:11.84] 採購量和合同變化
[20:11.84 - 20:13.96] 這就是拍Agent的價值
[20:13.96 - 20:15.44] 相信大家都學到很多了
[20:15.44 - 20:16.84] 就我們最後再來回顧一下
[20:16.84 - 20:18.40] Agent現在大概上
[20:18.40 - 20:19.20] 可以分為兩種
[20:19.20 - 20:20.04] CodingAgent
[20:20.04 - 20:21.24] 它的產殊是代碼
[20:21.24 - 20:22.44] 邦尼寫項目
[20:22.44 - 20:24.60] 拍這種日常任務的Agent
[20:24.60 - 20:25.52] 產出的是結果
[20:25.52 - 20:27.28] 代碼只是中間的一些手段
[20:27.28 - 20:28.24] 以CodingAgent
[20:28.24 - 20:29.00] 是預製菜
[20:29.00 - 20:30.88] 內置了一套完整的寫代碼
[20:30.88 - 20:32.72] 流程工具提示詞
[20:32.72 - 20:33.76] 派是個性化
[20:33.76 - 20:34.60] 是自己搭的
[20:34.60 - 20:35.92] 它的底座極簡
[20:35.92 - 20:37.04] 能力靠Skill
[20:37.04 - 20:38.08] 一個一個網民家
[20:38.08 - 20:39.52] 每個人最後用到的派
[20:39.52 - 20:40.60] 其實都長得不一樣
[20:40.60 - 20:41.76] 所以這期視頻的重點
[20:41.76 - 20:43.68] 是看我們怎麼一步一步
[20:43.68 - 20:45.20] 的去解鎖派的能力
[20:45.20 - 20:45.92] 裝搜索
[20:45.92 - 20:46.76] 它就會聯網
[20:46.76 - 20:48.20] 裝PDF跟Office
[20:48.20 - 20:49.16] 它就會去讀資料
[20:49.16 - 20:50.20] 裝HDTS
[20:50.20 - 20:51.44] 它就會開口說話
[20:51.44 - 20:52.76] 裝GPT Image2
[20:52.76 - 20:54.64] 它就會生成圖片素材
[20:54.64 - 20:55.72] 裝HypeFrams
[20:55.72 - 20:57.52] 它就會做帶動化的
[20:57.52 - 20:58.60] 演講跟視頻
[20:58.60 - 20:59.88] 最後當你把這些
[20:59.88 - 21:01.28] 單一的Skill串起來的時候
[21:01.28 - 21:02.12] 你就突然發現
[21:02.12 - 21:03.12] 它強大的能力
[21:03.12 - 21:04.64] 它能完成一個真正
[21:04.64 - 21:06.04] 像工作一樣的任務
[21:06.04 - 21:06.96] 從一句話開始
[21:06.96 - 21:08.48] 交付一份完整的
[21:08.48 - 21:10.08] 行業調源演講報告
[21:10.08 - 21:10.72] CodingAgent
[21:10.72 - 21:12.40] 它能解決的是開發的效率
[21:12.40 - 21:14.24] 派解決的是工作流的效率
[21:14.24 - 21:14.52] 好了
[21:14.52 - 21:15.32] 今天的視頻就到這裡了
[21:15.32 - 21:16.52] 我是第一次熊黑身女超
[21:16.52 - 21:17.12] 我們下次見
